customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,r_j_score,f_j_score,m_j_score,rfm_j_score,rfm_segment,rfm_j_segment,kmeans_cluster,kmeans_segment,HDBSCAN_cluster,HDBSCAN_segment
1,7.0,11,3018.09,1,1,2,112,1,1,3,113,2 loyal customers,2 loyal customers,4,6,4,4 almost lost
2,128.0,3,2226.26,4,4,3,443,3,4,3,343,7 lost cheap customers,7 lost cheap customers,1,7,-1,6 noise
3,102.0,7,3290.2099999999996,4,2,2,422,2,2,3,223,3 big spenders,2 loyal customers,4,6,-1,6 noise
4,195.0,2,220.57,4,4,4,444,4,4,4,444,7 lost cheap customers,7 lost cheap customers,3,9,-1,6 noise
5,16.0,6,2394.94,1,2,3,123,1,2,3,123,2 loyal customers,2 loyal customers,1,7,4,4 almost lost
6,64.0,5,3946.55,3,3,2,332,2,3,2,232,3 big spenders,3 big spenders,0,5,3,3 good - recent
7,253.0,3,220.10999999999999,4,4,4,444,4,4,4,444,7 lost cheap customers,7 lost cheap customers,3,9,-1,6 noise
8,22.0,9,5364.389999999999,2,1,1,211,1,1,2,112,2 loyal customers,2 loyal customers,6,3,-1,6 noise
9,78.0,6,2353.1099999999997,3,2,3,323,2,2,3,223,4 almost lost,2 loyal customers,1,7,4,4 almost lost
10,43.0,5,3358.2800000000007,2,3,2,232,1,3,3,133,3 big spenders,5 recent customers,0,5,4,4 almost lost
11,46.0,5,3091.5600000000004,3,3,2,332,2,3,3,233,3 big spenders,5 recent customers,4,6,4,4 almost lost
12,67.0,7,3540.0299999999997,3,2,2,322,2,2,3,223,3 big spenders,2 loyal customers,0,5,4,4 almost lost
13,27.0,7,4337.38,2,2,1,221,1,2,2,122,2 loyal customers,2 loyal customers,7,4,2,1 best - most recent
14,47.0,3,1713.9,3,4,4,344,2,4,4,244,7 lost cheap customers,5 recent customers,8,8,0,5 lost customers
15,35.0,6,1728.39,2,2,4,224,1,2,4,124,2 loyal customers,2 loyal customers,8,8,0,5 lost customers
16,99.0,5,4521.839999999999,4,3,1,431,2,3,2,232,3 big spenders,3 big spenders,7,4,-1,6 noise
17,0.0,5,2015.6100000000001,1,3,3,133,1,3,3,133,5 recent customers,5 recent customers,1,7,-1,6 noise
18,134.0,7,3543.38,4,2,2,422,3,2,3,323,3 big spenders,4 almost lost,0,5,-1,6 noise
19,280.0,2,1736.45,4,4,4,444,4,4,4,444,7 lost cheap customers,7 lost cheap customers,8,8,-1,6 noise
20,31.0,4,3608.2799999999997,2,4,2,242,1,3,2,132,3 big spenders,3 big spenders,0,5,4,4 almost lost
21,6.0,5,4229.41,1,3,1,131,1,3,2,132,3 big spenders,3 big spenders,7,4,2,1 best - most recent
22,97.0,8,5159.84,4,1,1,411,2,2,2,222,3 big spenders,2 loyal customers,6,3,-1,6 noise
23,10.0,6,4376.15,1,2,1,121,1,2,2,122,2 loyal customers,2 loyal customers,7,4,-1,6 noise
24,17.0,7,3689.35,1,2,2,122,1,2,2,122,2 loyal customers,2 loyal customers,0,5,4,4 almost lost
25,5.0,12,5333.66,1,1,1,111,1,1,2,112,1 best customers,2 loyal customers,6,3,-1,6 noise
26,259.0,2,268.2399999999999,4,4,4,444,4,4,4,444,7 lost cheap customers,7 lost cheap customers,3,9,-1,6 noise
27,143.0,7,3274.250000000001,4,2,2,422,3,2,3,323,3 big spenders,4 almost lost,4,6,-1,6 noise
28,83.0,6,3366.5600000000004,3,2,2,322,2,2,3,223,3 big spenders,2 loyal customers,0,5,4,4 almost lost
29,22.0,9,6175.3,2,1,1,211,1,1,1,111,2 loyal customers,1 best customers,6,3,-1,6 noise
30,11.0,3,2633.95,1,4,3,143,1,4,3,143,5 recent customers,5 recent customers,4,6,4,4 almost lost
31,89.0,4,426.10999999999996,4,4,4,444,2,3,4,234,7 lost cheap customers,5 recent customers,3,9,-1,6 noise
32,138.0,7,2823.12,4,2,2,422,3,2,3,323,3 big spenders,4 almost lost,4,6,-1,6 noise
33,38.0,7,5294.27,2,2,1,221,1,2,2,122,2 loyal customers,2 loyal customers,6,3,-1,6 noise
34,102.0,8,4825.59,4,1,1,411,2,2,2,222,3 big spenders,2 loyal customers,7,4,-1,6 noise
35,92.0,4,3706.5099999999998,4,4,2,442,2,3,2,232,3 big spenders,3 big spenders,0,5,-1,6 noise
36,163.0,2,204.35999999999999,4,4,4,444,3,4,4,344,7 lost cheap customers,7 lost cheap customers,3,9,-1,6 noise
37,7.0,9,6338.49,1,1,1,111,1,1,1,111,1 best customers,1 best customers,2,2,-1,6 noise
38,50.0,4,2025.34,3,4,3,343,2,3,3,233,7 lost cheap customers,5 recent customers,1,7,4,4 almost lost
39,34.0,12,6085.169999999998,2,1,1,211,1,1,1,111,2 loyal customers,1 best customers,6,3,-1,6 noise
40,14.0,5,3272.7000000000003,1,3,2,132,1,3,3,133,3 big spenders,5 recent customers,4,6,4,4 almost lost
41,29.0,9,4698.89,2,1,1,211,1,1,2,112,2 loyal customers,2 loyal customers,7,4,1,2 best - high spend
42,111.0,4,427.04,4,4,4,444,3,3,4,334,7 lost cheap customers,4 almost lost,3,9,-1,6 noise
43,61.0,9,3619.95,3,1,2,312,2,1,2,212,3 big spenders,2 loyal customers,0,5,4,4 almost lost
44,35.0,7,4768.28,2,2,1,221,1,2,2,122,2 loyal customers,2 loyal customers,7,4,1,2 best - high spend
45,43.0,3,1048.1499999999999,2,4,4,244,1,4,4,144,5 recent customers,5 recent customers,8,8,-1,6 noise
46,53.0,5,1623.6299999999997,3,3,4,334,2,3,4,234,4 almost lost,5 recent customers,8,8,0,5 lost customers
47,35.0,7,4332.1900000000005,2,2,1,221,1,2,2,122,2 loyal customers,2 loyal customers,7,4,2,1 best - most recent
48,82.0,8,5561.08,3,1,1,311,2,2,2,222,3 big spenders,2 loyal customers,6,3,-1,6 noise
49,36.0,4,2636.4300000000003,2,4,3,243,1,3,3,133,5 recent customers,5 recent customers,4,6,4,4 almost lost
50,26.0,7,4153.41,2,2,1,221,1,2,2,122,2 loyal customers,2 loyal customers,0,5,-1,6 noise
51,55.0,8,4855.400000000001,3,1,1,311,2,2,2,222,3 big spenders,2 loyal customers,7,4,1,2 best - high spend
52,4.0,6,5417.83,1,2,1,121,1,2,2,122,2 loyal customers,2 loyal customers,6,3,-1,6 noise
53,7.0,5,2950.07,1,3,2,132,1,3,3,133,3 big spenders,5 recent customers,4,6,4,4 almost lost
54,67.0,7,4098.21,3,2,2,322,2,2,2,222,3 big spenders,2 loyal customers,0,5,-1,6 noise
55,46.0,8,3220.8599999999997,3,1,2,312,2,2,3,223,3 big spenders,2 loyal customers,4,6,4,4 almost lost
56,2.0,7,1275.2399999999998,1,2,4,124,1,2,4,124,2 loyal customers,2 loyal customers,8,8,-1,6 noise
57,35.0,6,5117.96,2,2,1,221,1,2,2,122,2 loyal customers,2 loyal customers,6,3,-1,6 noise
58,20.0,8,3501.37,2,1,2,212,1,2,3,123,2 loyal customers,2 loyal customers,0,5,4,4 almost lost
59,22.0,3,2628.37,2,4,3,243,1,4,3,143,5 recent customers,5 recent customers,4,6,4,4 almost lost
60,200.0,2,647.22,4,4,4,444,4,4,4,444,7 lost cheap customers,7 lost cheap customers,3,9,-1,6 noise
61,47.0,6,4254.240000000001,3,2,1,321,2,2,2,222,3 big spenders,2 loyal customers,7,4,2,1 best - most recent
62,5.0,6,4920.879999999999,1,2,1,121,1,2,2,122,2 loyal customers,2 loyal customers,7,4,-1,6 noise
63,68.0,3,2190.05,3,4,3,343,2,4,3,243,7 lost cheap customers,5 recent customers,1,7,4,4 almost lost
64,3.0,5,546.6799999999997,1,3,4,134,1,3,4,134,5 recent customers,5 recent customers,3,9,-1,6 noise
65,136.0,5,3799.9699999999993,4,3,2,432,3,3,2,332,3 big spenders,3 big spenders,0,5,-1,6 noise
66,43.0,5,4549.200000000001,2,3,1,231,1,3,2,132,3 big spenders,3 big spenders,7,4,1,2 best - high spend
67,116.0,5,1203.2899999999997,4,3,4,434,3,3,4,334,4 almost lost,4 almost lost,8,8,-1,6 noise
68,84.0,3,3842.5599999999995,3,4,2,342,2,4,2,242,3 big spenders,3 big spenders,0,5,-1,6 noise
69,20.0,6,5294.75,2,2,1,221,1,2,2,122,2 loyal customers,2 loyal customers,6,3,-1,6 noise
70,4.0,5,2736.9,1,3,3,133,1,3,3,133,5 recent customers,5 recent customers,4,6,4,4 almost lost
71,131.0,1,155.6500000000001,4,4,4,444,3,4,4,344,7 lost cheap customers,7 lost cheap customers,3,9,-1,6 noise
72,22.0,4,2559.7799999999997,2,4,3,243,1,3,3,133,5 recent customers,5 recent customers,4,6,4,4 almost lost
73,168.0,6,2316.51,4,2,3,423,3,2,3,323,4 almost lost,4 almost lost,1,7,-1,6 noise
74,28.0,3,966.5200000000001,2,4,4,244,1,4,4,144,5 recent customers,5 recent customers,3,9,0,5 lost customers
75,60.0,8,4979.9400000000005,3,1,1,311,2,2,2,222,3 big spenders,2 loyal customers,7,4,-1,6 noise
76,1.0,8,2868.16,1,1,2,112,1,2,3,123,2 loyal customers,2 loyal customers,4,6,-1,6 noise
77,101.0,3,1657.5800000000002,4,4,4,444,2,4,4,244,7 lost cheap customers,5 recent customers,8,8,0,5 lost customers
78,211.0,2,82.25999999999999,4,4,4,444,4,4,4,444,7 lost cheap customers,7 lost cheap customers,3,9,-1,6 noise
79,47.0,5,1860.29,3,3,3,333,2,3,4,234,4 almost lost,5 recent customers,1,7,0,5 lost customers
80,28.0,10,5988.86,2,1,1,211,1,1,1,111,2 loyal customers,1 best customers,6,3,-1,6 noise
81,4.0,4,3249.02,1,4,2,142,1,3,3,133,3 big spenders,5 recent customers,4,6,4,4 almost lost
82,78.0,5,2924.37,3,3,2,332,2,3,3,233,3 big spenders,5 recent customers,4,6,4,4 almost lost
83,80.0,6,1798.1999999999998,3,2,3,323,2,2,4,224,4 almost lost,2 loyal customers,8,8,0,5 lost customers
84,28.0,7,2295.2200000000003,2,2,3,223,1,2,3,123,2 loyal customers,2 loyal customers,1,7,4,4 almost lost
85,37.0,6,563.3699999999999,2,2,4,224,1,2,4,124,2 loyal customers,2 loyal customers,3,9,-1,6 noise
86,0.0,9,2360.09,1,1,3,113,1,1,3,113,2 loyal customers,2 loyal customers,1,7,4,4 almost lost
87,18.0,9,3740.7599999999998,2,1,2,212,1,1,2,112,2 loyal customers,2 loyal customers,0,5,-1,6 noise
88,74.0,6,2534.3300000000004,3,2,3,323,2,2,3,223,4 almost lost,2 loyal customers,1,7,4,4 almost lost
89,4.0,9,5779.65,1,1,1,111,1,1,1,111,1 best customers,1 best customers,6,3,-1,6 noise
90,30.0,7,2990.73,2,2,2,222,1,2,3,123,2 loyal customers,2 loyal customers,4,6,4,4 almost lost
91,9.0,8,5242.410000000001,1,1,1,111,1,2,2,122,1 best customers,2 loyal customers,6,3,-1,6 noise
92,34.0,3,2967.4399999999996,2,4,2,242,1,4,3,143,3 big spenders,5 recent customers,4,6,4,4 almost lost
93,79.0,3,2976.4099999999994,3,4,2,342,2,4,3,243,3 big spenders,5 recent customers,4,6,4,4 almost lost
94,33.0,7,4902.21,2,2,1,221,1,2,2,122,2 loyal customers,2 loyal customers,7,4,1,2 best - high spend
95,38.0,4,3050.8099999999995,2,4,2,242,1,3,3,133,3 big spenders,5 recent customers,4,6,4,4 almost lost
96,70.0,3,1135.25,3,4,4,344,2,4,4,244,7 lost cheap customers,5 recent customers,8,8,0,5 lost customers
97,102.0,8,4911.209999999999,4,1,1,411,2,2,2,222,3 big spenders,2 loyal customers,7,4,-1,6 noise
98,141.0,4,1620.7500000000002,4,4,4,444,3,3,4,334,7 lost cheap customers,4 almost lost,8,8,-1,6 noise
99,2.0,9,4557.65,1,1,1,111,1,1,2,112,1 best customers,2 loyal customers,7,4,1,2 best - high spend
100,11.0,2,877.4,1,4,4,144,1,4,4,144,5 recent customers,5 recent customers,3,9,-1,6 noise
101,8.0,4,2589.89,1,4,3,143,1,3,3,133,5 recent customers,5 recent customers,4,6,4,4 almost lost
102,42.0,7,2587.01,2,2,3,223,1,2,3,123,2 loyal customers,2 loyal customers,4,6,4,4 almost lost
103,116.0,4,895.4499999999999,4,4,4,444,3,3,4,334,7 lost cheap customers,4 almost lost,3,9,-1,6 noise
104,64.0,7,3112.8000000000006,3,2,2,322,2,2,3,223,3 big spenders,2 loyal customers,4,6,4,4 almost lost
105,89.0,4,3475.04,4,4,2,442,2,3,3,233,3 big spenders,5 recent customers,0,5,-1,6 noise
106,1.0,3,2513.69,1,4,3,143,1,4,3,143,5 recent customers,5 recent customers,1,7,4,4 almost lost
107,81.0,4,2343.9700000000003,3,4,3,343,2,3,3,233,7 lost cheap customers,5 recent customers,1,7,4,4 almost lost
108,10.0,3,2557.42,1,4,3,143,1,4,3,143,5 recent customers,5 recent customers,4,6,4,4 almost lost
109,8.0,10,4430.66,1,1,1,111,1,1,2,112,1 best customers,2 loyal customers,7,4,-1,6 noise
110,14.0,7,2621.55,1,2,3,123,1,2,3,123,2 loyal customers,2 loyal customers,4,6,4,4 almost lost
111,147.0,4,3014.53,4,4,2,442,3,3,3,333,3 big spenders,4 almost lost,4,6,-1,6 noise
112,47.0,6,5742.1900000000005,3,2,1,321,2,2,1,221,3 big spenders,2 loyal customers,6,3,-1,6 noise
113,175.0,6,2329.4900000000002,4,2,3,423,3,2,3,323,4 almost lost,4 almost lost,1,7,-1,6 noise
114,70.0,4,2195.2599999999998,3,4,3,343,2,3,3,233,7 lost cheap customers,5 recent customers,1,7,4,4 almost lost
115,14.0,8,3135.87,1,1,2,112,1,2,3,123,2 loyal customers,2 loyal customers,4,6,4,4 almost lost
116,12.0,8,2447.5400000000004,1,1,3,113,1,2,3,123,2 loyal customers,2 loyal customers,1,7,4,4 almost lost
117,5.0,10,6917.34,1,1,1,111,1,1,1,111,1 best customers,1 best customers,2,2,-1,6 noise
118,69.0,5,3550.1,3,3,2,332,2,3,3,233,3 big spenders,5 recent customers,0,5,4,4 almost lost
119,30.0,4,4217.24,2,4,1,241,1,3,2,132,3 big spenders,3 big spenders,7,4,2,1 best - most recent
120,129.0,2,869.3200000000003,4,4,4,444,3,4,4,344,7 lost cheap customers,7 lost cheap customers,3,9,-1,6 noise
121,111.0,4,2892.09,4,4,2,442,3,3,3,333,3 big spenders,4 almost lost,4,6,-1,6 noise
122,8.0,5,2695.2200000000003,1,3,3,133,1,3,3,133,5 recent customers,5 recent customers,4,6,4,4 almost lost
123,191.0,4,3245.75,4,4,2,442,4,3,3,433,3 big spenders,4 almost lost,4,6,-1,6 noise
124,2.0,7,4054.2499999999995,1,2,2,122,1,2,2,122,2 loyal customers,2 loyal customers,0,5,-1,6 noise
125,83.0,10,3345.01,3,1,2,312,2,1,3,213,3 big spenders,2 loyal customers,0,5,4,4 almost lost
