,transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,days_since_last_purchase,profit
0,8708,0,5034,2017-10-07,0.0,Approved,Solex,Road,medium,medium,416.98,312.7350159,2015-08-04,84.0,104.24498410000001
1,16701,0,5034,2017-01-27,0.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.2999878,1997-08-27,337.0,90.10001219999998
2,17469,0,5034,2017-01-03,0.0,Approved,OHM Cycles,Road,medium,medium,742.54,667.4000244,1992-10-04,361.0,75.13997559999996
3,2463,2,3500,2017-04-25,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,2012-12-04,249.0,17.869999999999997
4,6309,69,3500,2017-01-09,1.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,1992-10-04,355.0,198.22000000000003
5,8416,74,3500,2017-02-16,0.0,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91,2000-05-24,317.0,827.1599999999999
6,8562,33,3500,2017-08-08,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1992-10-13,144.0,144.26
7,14870,22,3500,2017-01-11,0.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,1993-07-17,353.0,15.080000000000005
8,19836,40,3500,2017-03-14,1.0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,2006-02-04,291.0,583.2700000000001
9,747,32,3499,2017-06-21,0.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,2010-06-09,192.0,431.33000000000004
10,2433,44,3499,2017-02-25,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,2003-02-18,308.0,1660.88
11,2794,62,3499,2017-01-12,0.0,Approved,Solex,Standard,medium,medium,478.16,298.72,1998-12-19,352.0,179.44
12,3902,1,3499,2017-06-22,1.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2012-12-04,191.0,448.67999999999995
13,7386,57,3499,2017-03-01,1.0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,1993-06-25,304.0,1630.25
14,12434,36,3499,2017-04-25,0.0,Approved,Solex,Standard,low,medium,945.04,507.58,2006-02-04,249.0,437.46
15,18403,67,3499,2017-11-09,1.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,2006-05-24,51.0,167.20999999999998
